data,events,placarFull,placarHafTime,golsHalfTime,timesgol
19.09.2021,Marseille v Rennes,2-0,0 - 0,"[48, 71]",48
19.09.2021,Angers v Nantes,1-4,1 - 3,[79],79
19.09.2021,Clermont v Brest,1-1,0 - 0,"[52, 65]",52
19.09.2021,Reims v Lorient,0-0,0 - 0,[],100
19.09.2021,Troyes v Montpellier,1-1,1 - 0,[87],87
19.09.2021,Nice v Monaco,2-2,0 - 1,"[51, 73, 77]",51
18.09.2021,St. Etienne v Bordeaux,1-2,0 - 1,"[73, 80]",73
18.09.2021,Lens v Lille,1-0,0 - 0,[74],74
17.09.2021,Strasbourg v Metz,3-0,3 - 0,[],100
12.09.2021,Lyon v Strasbourg,3-1,1 - 0,"[64, 87, 96]",64
12.09.2021,Nantes v Nice,0-2,0 - 0,"[75, 80]",75
12.09.2021,Bordeaux v Lens,2-3,0 - 2,"[60, 88, 95]",60
12.09.2021,Brest v Angers,1-1,0 - 0,"[62, 78]",62
12.09.2021,Metz v Troyes,0-2,0 - 0,"[50, 84]",50
12.09.2021,Rennes v Reims,0-2,0 - 1,[67],67
12.09.2021,Montpellier v St. Etienne,2-0,1 - 0,[62],62
11.09.2021,Monaco v Marseille,0-2,0 - 1,[60],60
11.09.2021,PSG v Clermont,4-0,2 - 0,"[55, 65]",55
10.09.2021,Lorient v Lille,2-1,1 - 1,[87],87
29.08.2021,Reims v PSG,0-2,0 - 1,[63],63
29.08.2021,Lille v Montpellier,2-1,1 - 1,[57],57
29.08.2021,Angers v Rennes,2-0,0 - 0,"[57, 88]",57
29.08.2021,Clermont v Metz,2-2,1 - 2,[58],58
29.08.2021,Lens v Lorient,2-2,1 - 2,[70],70
29.08.2021,Strasbourg v Brest,3-1,2 - 1,[84],84
29.08.2021,Troyes v Monaco,1-2,0 - 1,"[51, 58]",51
28.08.2021,Marseille v St. Etienne,3-1,1 - 1,"[51, 68]",51
28.08.2021,Nice v Bordeaux,4-0,3 - 0,[85],85
27.08.2021,Nantes v Lyon,0-1,0 - 1,[],100
22.08.2021,Rennes v Nantes,1-0,0 - 0,[58],58
22.08.2021,Bordeaux v Angers,1-1,1 - 1,[],100
22.08.2021,Metz v Reims,1-1,1 - 1,[],100
22.08.2021,Montpellier v Lorient,3-1,0 - 1,"[50, 58, 83]",50
22.08.2021,Strasbourg v Troyes,1-1,0 - 1,[77],77
22.08.2021,Lyon v Clermont,3-3,3 - 1,"[80, 91]",80
21.08.2021,St. Etienne v Lille,1-1,0 - 1,[85],85
21.08.2021,Monaco v Lens,0-2,0 - 0,"[51, 93]",51
20.08.2021,Brest v PSG,2-4,1 - 2,"[73, 85, 90]",73
15.08.2021,Marseille v Bordeaux,2-2,2 - 0,"[51, 57]",51
15.08.2021,Lens v St. Etienne,2-2,1 - 1,"[52, 77]",52
15.08.2021,Brest v Rennes,1-1,0 - 0,"[84, 91]",84
15.08.2021,Clermont v Troyes,2-0,0 - 0,"[53, 65]",53
15.08.2021,Nantes v Metz,2-0,1 - 0,[49],49
15.08.2021,Reims v Montpellier,3-3,2 - 3,[83],83
15.08.2021,Angers v Lyon,3-0,1 - 0,"[53, 77]",53
14.08.2021,PSG v Strasbourg,4-2,3 - 0,"[53, 64, 86]",53
14.08.2021,Lille v Nice,0-4,0 - 3,[64],64
13.08.2021,Lorient v Monaco,1-0,1 - 0,[],100
08.08.2021,Montpellier v Marseille,2-3,2 - 0,"[68, 75, 80]",68
08.08.2021,Metz v Lille,3-3,2 - 1,"[52, 81, 96]",52
08.08.2021,Bordeaux v Clermont,0-2,0 - 0,"[82, 92]",82
08.08.2021,Nice v Reims,0-0,0 - 0,[],100
08.08.2021,St. Etienne v Lorient,1-1,0 - 0,"[52, 70]",52
08.08.2021,Strasbourg v Angers,0-2,0 - 0,"[57, 81]",57
08.08.2021,Rennes v Lens,1-1,1 - 1,[],100
07.08.2021,Troyes v PSG,1-2,1 - 2,[],100
07.08.2021,Lyon v Brest,1-1,0 - 1,[62],62
06.08.2021,Monaco v Nantes,1-1,1 - 1,[],100
