events,placarFull,placarHafTime,golsHalfTime,timesgol
Aston Villa v Liverpool,7-2,4 - 1,"[55, 60, 66, 75]",55
Manchester Utd v Tottenham,1-6,1 - 4,"[51, 79]",51
Arsenal v Sheffield Utd,2-1,0 - 0,"[61, 64, 83]",61
Wolverhampton v Fulham,1-0,0 - 0,[56],56
Leicester v West Ham,0-3,0 - 2,[83],83
Southampton v West Bromwich,2-0,1 - 0,[69],69
Newcastle v Burnley,3-1,1 - 0,"[61, 65, 77]",61
Leeds v Manchester City,1-1,0 - 1,[59],59
Everton v Brighton,4-2,2 - 1,"[52, 70, 92]",52
Chelsea v Crystal Palace,4-0,0 - 0,"[50, 66, 78, 82]",50
Liverpool v Arsenal,3-1,2 - 1,[88],88
Fulham v Aston Villa,0-3,0 - 2,[48],48
West Ham v Wolverhampton,4-0,1 - 0,"[57, 66, 93]",57
Manchester City v Leicester,2-5,1 - 1,"[54, 58, 77, 84, 88]",54
Tottenham v Newcastle,1-1,1 - 0,[97],97
Sheffield Utd v Leeds,0-1,0 - 0,[88],88
Burnley v Southampton,0-1,0 - 1,[],100
West Bromwich v Chelsea,3-3,3 - 0,"[55, 70, 93]",55
Crystal Palace v Everton,1-2,1 - 2,[],100
Brighton v Manchester Utd,2-3,1 - 1,"[55, 95, 100]",55
Wolverhampton v Manchester City,1-3,0 - 2,"[78, 95]",78
Aston Villa v Sheffield Utd,1-0,0 - 0,[63],63
Leicester v Burnley,4-2,1 - 1,"[50, 61, 73, 79]",50
Chelsea v Liverpool,0-2,0 - 0,"[50, 54]",50
Newcastle v Brighton,0-3,0 - 2,[83],83
Southampton v Tottenham,2-5,1 - 1,"[47, 64, 73, 82, 90]",47
Arsenal v West Ham,2-1,1 - 1,[85],85
Manchester Utd v Crystal Palace,1-3,0 - 1,"[74, 80, 85]",74
Leeds v Fulham,4-3,2 - 1,"[50, 57, 62, 67]",50
Everton v West Bromwich,5-2,2 - 1,"[47, 54, 62, 66]",47
Brighton v Chelsea,1-3,0 - 1,"[54, 56, 66]",54
Sheffield Utd v Wolverhampton,0-2,0 - 2,[],100
Tottenham v Everton,0-1,0 - 0,[55],55
West Bromwich v Leicester,0-3,0 - 0,"[56, 74, 84]",56
West Ham v Newcastle,0-2,0 - 0,"[56, 87]",56
Liverpool v Leeds,4-3,3 - 2,"[66, 88]",66
Crystal Palace v Southampton,1-0,1 - 0,[],100
Fulham v Arsenal,0-3,0 - 1,"[49, 57]",49
